MessageID,Timestamp,Sender,Message,Length,Label
1,2023-06-28 07:47:00,Unknown,"Hey, are we still meeting for lunch today?",42,Ham
2,2023-11-04 05:37:00,KnownContact,Don't forget the meeting at 10 AM tomorrow.,43,Ham
3,2023-06-09 04:58:00,Unknown,URGENT! Your account has been compromised. Verify your details immediately.,75,Spam
4,2023-05-25 18:56:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
5,2023-06-10 12:28:00,Unknown,Let's catch up over coffee this weekend.,40,Ham
6,2023-04-27 06:14:00,KnownContact,"I'm on my way, see you soon.",28,Ham
7,2023-04-24 05:12:00,Unknown,"Thanks for your help yesterday, really appreciate it.",53,Ham
8,2023-03-09 12:51:00,KnownContact,"Thanks for your help yesterday, really appreciate it.",53,Ham
9,2023-07-12 14:50:00,Unknown,"Thanks for your help yesterday, really appreciate it.",53,Ham
10,2023-10-03 15:22:00,KnownContact,Are you coming to the party tonight?,36,Ham
11,2023-09-21 08:01:00,Unknown,You have been selected for a $500 reward. Confirm now!,54,Spam
12,2023-06-15 22:48:00,KnownContact,Don't forget the meeting at 10 AM tomorrow.,43,Ham
13,2023-03-15 13:07:00,KnownContact,Don't forget the meeting at 10 AM tomorrow.,43,Ham
14,2023-04-29 10:35:00,Unknown,Are you coming to the party tonight?,36,Ham
15,2023-02-21 23:50:00,Unknown,Can you call me when you're free?,33,Ham
16,2023-04-29 23:39:00,KnownContact,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
17,2023-08-25 03:15:00,KnownContact,"I'm on my way, see you soon.",28,Ham
18,2023-01-24 08:59:00,KnownContact,"Hey, are we still meeting for lunch today?",42,Ham
19,2023-02-18 04:43:00,Unknown,Please send me the report by end of the day.,44,Ham
20,2023-06-04 19:55:00,Unknown,"Good night, talk to you tomorrow.",33,Ham
21,2023-04-15 00:51:00,Unknown,Please send me the report by end of the day.,44,Ham
22,2023-11-08 23:25:00,Unknown,Can you call me when you're free?,33,Ham
23,2023-06-09 16:54:00,Unknown,Please send me the report by end of the day.,44,Ham
24,2023-03-08 04:45:00,Unknown,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
25,2023-04-27 11:53:00,KnownContact,Don't forget the meeting at 10 AM tomorrow.,43,Ham
26,2023-10-08 04:17:00,KnownContact,Please send me the report by end of the day.,44,Ham
27,2023-01-09 08:38:00,Unknown,Are you coming to the party tonight?,36,Ham
28,2023-09-05 16:59:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
29,2023-04-26 04:00:00,Unknown,Get 90% discount on all items. Visit now!,41,Spam
30,2023-03-19 11:39:00,KnownContact,"I'm on my way, see you soon.",28,Ham
31,2023-04-22 07:03:00,KnownContact,"I'm on my way, see you soon.",28,Ham
32,2023-08-25 01:02:00,KnownContact,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
33,2023-08-12 22:11:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
34,2023-03-04 08:54:00,KnownContact,Can you call me when you're free?,33,Ham
35,2023-04-04 11:48:00,KnownContact,Don't forget the meeting at 10 AM tomorrow.,43,Ham
36,2023-07-13 00:12:00,KnownContact,Let's catch up over coffee this weekend.,40,Ham
37,2023-06-04 05:26:00,Unknown,"Good night, talk to you tomorrow.",33,Ham
38,2023-10-18 12:53:00,Unknown,Can you call me when you're free?,33,Ham
39,2023-11-25 18:17:00,Unknown,"Thanks for your help yesterday, really appreciate it.",53,Ham
40,2023-02-16 14:56:00,Unknown,Claim your free vacation now! Call this number.,47,Spam
41,2023-06-10 08:34:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
42,2023-06-16 17:02:00,Unknown,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,75,Spam
43,2023-08-29 14:39:00,Unknown,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,75,Spam
44,2023-07-22 18:44:00,Unknown,Claim your free vacation now! Call this number.,47,Spam
45,2023-12-11 04:31:00,KnownContact,Can you call me when you're free?,33,Ham
46,2023-05-19 15:39:00,Unknown,Are you coming to the party tonight?,36,Ham
47,2023-09-15 23:47:00,Unknown,Get 90% discount on all items. Visit now!,41,Spam
48,2023-03-13 15:58:00,KnownContact,Are you coming to the party tonight?,36,Ham
49,2023-03-21 13:36:00,Unknown,Winner! Text 'WIN' to 54321 to claim your prize.,48,Spam
50,2023-04-13 01:51:00,Unknown,Can you call me when you're free?,33,Ham
51,2023-07-01 21:41:00,Unknown,"I'm on my way, see you soon.",28,Ham
52,2023-03-13 07:04:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
53,2023-01-11 17:54:00,Unknown,Earn money from home easily. Sign up today.,43,Spam
54,2023-10-23 22:36:00,KnownContact,Can you call me when you're free?,33,Ham
55,2023-02-12 16:43:00,Unknown,Can you call me when you're free?,33,Ham
56,2023-10-12 07:06:00,Unknown,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,75,Spam
57,2023-11-05 00:35:00,Unknown,Are you coming to the party tonight?,36,Ham
58,2023-04-23 17:16:00,Unknown,Let's catch up over coffee this weekend.,40,Ham
59,2023-02-12 14:04:00,Unknown,Claim your free vacation now! Call this number.,47,Spam
60,2023-08-17 08:38:00,KnownContact,Let's catch up over coffee this weekend.,40,Ham
61,2023-12-14 04:28:00,Unknown,Exclusive offer just for you! Click the link.,45,Spam
62,2023-02-11 10:02:00,KnownContact,Let's catch up over coffee this weekend.,40,Ham
63,2023-02-19 21:29:00,KnownContact,Don't forget the meeting at 10 AM tomorrow.,43,Ham
64,2023-03-29 07:10:00,Unknown,Can you call me when you're free?,33,Ham
65,2023-01-29 22:32:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
66,2023-07-09 21:12:00,Unknown,Please send me the report by end of the day.,44,Ham
67,2023-07-13 09:57:00,KnownContact,"Thanks for your help yesterday, really appreciate it.",53,Ham
68,2023-08-19 05:35:00,Unknown,"I'm on my way, see you soon.",28,Ham
69,2023-11-30 17:07:00,KnownContact,Don't forget the meeting at 10 AM tomorrow.,43,Ham
70,2023-02-23 08:19:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
71,2023-04-07 10:50:00,Unknown,Let's catch up over coffee this weekend.,40,Ham
72,2023-09-27 01:57:00,KnownContact,Don't forget the meeting at 10 AM tomorrow.,43,Ham
73,2023-01-06 16:43:00,Unknown,Are you coming to the party tonight?,36,Ham
74,2023-03-17 10:18:00,Unknown,Let's catch up over coffee this weekend.,40,Ham
75,2023-03-26 01:15:00,Unknown,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
76,2023-07-18 07:37:00,KnownContact,Let's catch up over coffee this weekend.,40,Ham
77,2023-05-29 06:07:00,Unknown,Can you call me when you're free?,33,Ham
78,2023-07-02 20:39:00,Unknown,"I'm on my way, see you soon.",28,Ham
79,2023-11-05 10:31:00,KnownContact,"Hey, are we still meeting for lunch today?",42,Ham
80,2023-08-31 21:19:00,KnownContact,"Hey, are we still meeting for lunch today?",42,Ham
81,2023-11-18 17:38:00,KnownContact,"I'm on my way, see you soon.",28,Ham
82,2023-03-23 11:08:00,KnownContact,Please send me the report by end of the day.,44,Ham
83,2023-01-27 05:38:00,Unknown,Get cheap loans now with instant approval. Limited offer!,57,Spam
84,2023-11-09 23:04:00,KnownContact,"Good night, talk to you tomorrow.",33,Ham
85,2023-09-23 12:44:00,Unknown,You have been selected for a $500 reward. Confirm now!,54,Spam
86,2023-06-02 23:21:00,Unknown,"Hey, are we still meeting for lunch today?",42,Ham
87,2023-10-23 21:57:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
88,2023-04-29 07:55:00,KnownContact,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
89,2023-01-19 01:10:00,Unknown,Happy Birthday! Wishing you a wonderful year ahead.,51,Ham
90,2023-10-27 19:12:00,Unknown,Winner! Text 'WIN' to 54321 to claim your prize.,48,Spam
91,2023-04-26 22:11:00,Unknown,Can you call me when you're free?,33,Ham
92,2023-01-29 04:45:00,Unknown,Don't forget the meeting at 10 AM tomorrow.,43,Ham
93,2023-12-02 04:22:00,KnownContact,Can you call me when you're free?,33,Ham
94,2023-01-18 05:33:00,KnownContact,Can you call me when you're free?,33,Ham
